iter	Passed	Remaining
0	11	14212
1	17	10483
2	21	8751
3	28	8467
4	34	8362
5	40	8072
6	48	8306
7	53	8013
8	64	8494
9	71	8458
10	83	9063
11	92	9202
12	100	9144
13	108	9171
14	121	9579
15	135	10006
16	147	10238
17	159	10489
18	173	10812
19	188	11113
20	199	11206
21	207	11089
22	216	11083
23	225	11031
24	235	11058
25	241	10884
26	251	10940
27	261	10933
28	268	10847
29	278	10876
30	285	10770
31	297	10859
32	307	10866
33	323	11086
34	330	11000
35	343	11103
36	355	11168
37	362	11099
38	376	11205
39	390	11314
40	400	11314
41	408	11266
42	423	11386
43	433	11400
44	447	11494
45	456	11440
46	466	11446
47	473	11352
48	483	11351
49	491	11295
50	496	11192
51	507	11207
52	513	11118
53	523	11103
54	533	11112
55	549	11219
56	560	11230
57	574	11315
58	582	11268
59	591	11245
60	601	11239
61	609	11179
62	624	11275
63	636	11301
64	647	11302
65	654	11247
66	663	11227
67	677	11280
68	686	11249
69	694	11205
70	702	11167
71	709	11114
72	718	11087
73	727	11067
74	732	10989
75	740	10949
76	746	10882
77	750	10799
78	757	10755
79	767	10743
80	779	10765
81	787	10741
82	798	10747
83	805	10695
84	813	10669
85	819	10615
86	824	10544
87	831	10501
88	844	10542
89	856	10567
90	865	10542
91	874	10535
92	882	10507
93	892	10495
94	902	10492
95	910	10469
96	921	10477
97	929	10456
98	938	10441
99	950	10454
100	958	10426
101	968	10422
102	975	10393
103	983	10369
104	992	10350
105	1000	10328
106	1011	10335
107	1017	10291
108	1027	10284
109	1038	10289
110	1050	10310
111	1060	10299
112	1069	10288
113	1073	10223
114	1083	10222
115	1093	10213
116	1101	10195
117	1110	10183
118	1119	10171
119	1126	10134
120	1135	10125
121	1144	10111
122	1153	10103
123	1161	10080
124	1168	10046
125	1180	10061
126	1191	10067
127	1203	10075
128	1213	10077
129	1228	10112
130	1237	10094
131	1257	10171
132	1280	10275
133	1297	10323
134	1306	10309
135	1315	10294
136	1323	10272
137	1333	10260
138	1343	10256
139	1353	10244
140	1361	10225
141	1369	10203
142	1378	10189
143	1384	10155
144	1392	10128
145	1401	10117
146	1412	10115
147	1419	10089
148	1427	10068
149	1434	10041
150	1443	10030
151	1450	10000
152	1459	9984
153	1464	9947
154	1473	9936
155	1483	9928
156	1491	9909
157	1501	9900
158	1507	9870
159	1517	9864
160	1531	9881
161	1541	9877
162	1551	9872
163	1560	9860
164	1570	9850
165	1578	9834
166	1585	9808
167	1598	9816
168	1608	9814
169	1618	9806
170	1629	9805
171	1639	9798
172	1648	9788
173	1661	9798
174	1672	9797
175	1678	9768
176	1688	9760
177	1699	9760
178	1717	9798
179	1730	9808
180	1737	9784
181	1746	9768
182	1754	9748
183	1763	9737
184	1770	9716
185	1782	9716
186	1789	9694
187	1796	9670
188	1801	9636
189	1808	9615
190	1813	9580
191	1817	9544
192	1825	9526
193	1830	9492
194	1837	9468
195	1842	9437
196	1847	9404
197	1854	9386
198	1859	9352
199	1863	9319
200	1869	9292
201	1874	9262
202	1879	9230
203	1887	9213
204	1892	9183
205	1898	9162
206	1904	9137
207	1913	9123
208	1920	9106
209	1935	9124
210	1944	9116
211	1951	9094
212	1963	9096
213	1969	9072
214	1978	9065
215	1985	9045
216	1995	9037
217	2004	9031
218	2013	9020
219	2023	9012
220	2029	8991
221	2037	8978
222	2045	8962
223	2054	8951
224	2058	8920
225	2066	8905
226	2070	8876
227	2075	8847
228	2082	8831
229	2087	8802
230	2093	8781
231	2099	8758
232	2103	8730
233	2110	8713
234	2116	8693
235	2121	8666
236	2127	8645
237	2131	8617
238	2138	8599
239	2144	8578
240	2149	8551
241	2157	8538
242	2162	8515
243	2173	8515
244	2178	8490
245	2185	8475
246	2190	8450
247	2195	8426
248	2202	8412
249	2207	8387
250	2212	8366
251	2219	8350
252	2224	8325
253	2232	8313
254	2236	8289
255	2242	8268
256	2249	8253
257	2254	8231
258	2262	8221
259	2267	8197
260	2275	8185
261	2279	8162
262	2284	8139
263	2292	8127
264	2296	8103
265	2301	8080
266	2306	8061
267	2311	8039
268	2318	8022
269	2324	8007
270	2329	7985
271	2337	7973
272	2341	7951
273	2348	7935
274	2353	7916
275	2359	7900
276	2368	7892
277	2374	7875
278	2383	7868
279	2392	7860
280	2399	7848
281	2405	7830
282	2415	7826
283	2425	7822
284	2432	7808
285	2442	7805
286	2449	7793
287	2459	7789
288	2465	7771
289	2477	7772
290	2489	7775
291	2495	7759
292	2505	7757
293	2512	7741
294	2519	7730
295	2524	7708
296	2531	7697
297	2537	7681
298	2542	7661
299	2550	7652
300	2556	7636
301	2565	7627
302	2569	7607
303	2577	7595
304	2583	7581
305	2588	7561
306	2596	7552
307	2609	7557
308	2618	7551
309	2630	7553
310	2643	7556
311	2649	7541
312	2659	7536
313	2667	7527
314	2676	7518
315	2697	7546
316	2720	7578
317	2737	7593
318	2755	7610
319	2776	7635
320	2784	7624
321	2804	7647
322	2821	7661
323	2829	7650
324	2854	7686
325	2872	7701
326	2889	7712
327	2902	7715
328	2919	7727
329	2937	7743
330	2951	7747
331	2967	7757
332	2975	7747
333	2984	7738
334	2989	7719
335	2995	7703
336	3000	7683
337	3008	7672
338	3013	7654
339	3020	7639
340	3026	7625
341	3031	7605
342	3038	7592
343	3043	7572
344	3049	7558
345	3059	7550
346	3065	7536
347	3071	7519
348	3076	7502
349	3087	7498
350	3092	7480
351	3100	7469
352	3105	7450
353	3112	7438
354	3117	7421
355	3122	7402
356	3133	7398
357	3137	7379
358	3145	7367
359	3149	7349
360	3157	7339
361	3162	7320
362	3166	7302
363	3176	7294
364	3182	7280
365	3195	7280
366	3203	7271
367	3218	7276
368	3227	7267
369	3238	7264
370	3244	7250
371	3254	7244
372	3264	7238
373	3275	7235
374	3286	7229
375	3294	7219
376	3302	7208
377	3310	7200
378	3316	7185
379	3322	7170
380	3332	7164
381	3344	7161
382	3352	7150
383	3362	7145
384	3372	7139
385	3382	7133
386	3395	7132
387	3408	7133
388	3416	7123
389	3434	7133
390	3448	7135
391	3464	7141
392	3473	7132
393	3485	7129
394	3490	7114
395	3501	7109
396	3511	7103
397	3520	7093
398	3535	7097
399	3545	7091
400	3558	7091
401	3564	7075
402	3576	7073
403	3583	7060
404	3592	7052
405	3597	7036
406	3605	7024
407	3609	7007
408	3614	6991
409	3623	6981
410	3627	6964
411	3636	6955
412	3640	6938
413	3645	6921
414	3654	6913
415	3659	6896
416	3668	6888
417	3673	6871
418	3682	6863
419	3686	6846
420	3695	6838
421	3700	6822
422	3704	6805
423	3713	6796
424	3718	6780
425	3723	6765
426	3729	6751
427	3733	6734
428	3743	6728
429	3749	6714
430	3757	6704
431	3762	6688
432	3768	6675
433	3774	6661
434	3780	6648
435	3792	6644
436	3800	6634
437	3809	6627
438	3815	6613
439	3821	6600
440	3825	6584
441	3833	6574
442	3838	6558
443	3843	6543
444	3849	6531
445	3854	6516
446	3860	6503
447	3866	6489
448	3870	6474
449	3878	6464
450	3883	6449
451	3890	6437
452	3897	6427
453	3903	6414
454	3911	6404
455	3921	6398
456	3930	6390
457	3940	6384
458	3946	6371
459	3956	6364
460	3966	6358
461	3975	6349
462	3984	6342
463	3990	6330
464	4002	6325
465	4009	6315
466	4019	6309
467	4032	6307
468	4037	6292
469	4044	6281
470	4051	6270
471	4058	6260
472	4064	6247
473	4070	6234
474	4076	6222
475	4081	6207
476	4088	6197
477	4094	6184
478	4098	6169
479	4106	6159
480	4110	6145
481	4118	6135
482	4123	6120
483	4127	6106
484	4135	6097
485	4140	6082
486	4146	6070
487	4151	6057
488	4156	6043
489	4165	6035
490	4170	6021
491	4176	6009
492	4184	6000
493	4188	5986
494	4194	5974
495	4200	5962
496	4206	5950
497	4214	5941
498	4223	5932
499	4230	5923
500	4240	5915
501	4244	5902
502	4251	5891
503	4256	5878
504	4261	5865
505	4270	5856
506	4275	5843
507	4282	5833
508	4288	5821
509	4293	5808
510	4302	5800
511	4306	5786
512	4313	5776
513	4318	5763
514	4324	5751
515	4336	5748
516	4344	5739
517	4349	5726
518	4355	5714
519	4362	5705
520	4367	5692
521	4375	5683
522	4380	5670
523	4387	5659
524	4395	5650
525	4414	5656
526	4424	5650
527	4430	5638
528	4441	5633
529	4454	5630
530	4465	5625
531	4473	5617
532	4478	5604
533	4485	5594
534	4500	5594
535	4514	5592
536	4520	5581
537	4531	5575
538	4538	5565
539	4548	5559
540	4557	5551
541	4563	5539
542	4573	5534
543	4582	5525
544	4593	5520
545	4602	5512
546	4612	5506
547	4621	5498
548	4628	5488
549	4637	5480
550	4641	5467
551	4646	5454
552	4657	5449
553	4665	5439
554	4670	5427
555	4675	5414
556	4682	5405
557	4687	5393
558	4694	5383
559	4699	5370
560	4704	5358
561	4714	5352
562	4725	5346
563	4733	5337
564	4742	5330
565	4748	5318
566	4757	5311
567	4762	5299
568	4773	5293
569	4779	5282
570	4789	5275
571	4800	5270
572	4807	5260
573	4818	5254
574	4827	5246
575	4834	5237
576	4841	5227
577	4850	5219
578	4855	5207
579	4864	5200
580	4873	5191
581	4882	5184
582	4887	5172
583	4895	5163
584	4900	5151
585	4910	5145
586	4926	5144
587	4937	5138
588	4950	5135
589	4966	5134
590	4976	5128
591	4993	5128
592	5009	5127
593	5021	5123
594	5037	5122
595	5054	5122
596	5070	5121
597	5081	5115
598	5094	5111
599	5102	5102
600	5112	5095
601	5117	5083
602	5123	5072
603	5129	5061
604	5134	5049
605	5144	5042
606	5149	5030
607	5158	5022
608	5163	5011
609	5168	4999
610	5175	4989
611	5180	4977
612	5186	4966
613	5192	4955
614	5197	4943
615	5204	4934
616	5209	4922
617	5215	4911
618	5221	4901
619	5226	4888
620	5233	4879
621	5238	4867
622	5242	4855
623	5251	4847
624	5257	4837
625	5267	4830
626	5273	4819
627	5286	4814
628	5298	4809
629	5306	4800
630	5314	4792
631	5323	4784
632	5331	4775
633	5342	4769
634	5369	4777
635	5381	4772
636	5392	4765
637	5399	4756
638	5407	4747
639	5415	4738
640	5423	4729
641	5430	4720
642	5436	4709
643	5446	4702
644	5453	4692
645	5469	4690
646	5480	4684
647	5492	4678
648	5507	4675
649	5514	4665
650	5522	4657
651	5535	4652
652	5546	4646
653	5557	4639
654	5565	4630
655	5578	4626
656	5592	4622
657	5606	4617
658	5614	4609
659	5626	4603
660	5638	4597
661	5653	4594
662	5666	4589
663	5676	4582
664	5689	4577
665	5699	4570
666	5709	4562
667	5717	4553
668	5729	4547
669	5737	4538
670	5747	4530
671	5755	4522
672	5763	4512
673	5769	4502
674	5778	4494
675	5783	4483
676	5792	4474
677	5799	4465
678	5808	4457
679	5815	4446
680	5827	4441
681	5839	4435
682	5848	4426
683	5853	4415
684	5867	4411
685	5877	4403
686	5890	4398
687	5909	4397
688	5920	4390
689	5933	4385
690	5948	4382
691	5961	4376
692	5972	4369
693	5982	4361
694	5992	4354
695	6007	4350
696	6012	4339
697	6024	4332
698	6036	4326
699	6045	4318
700	6057	4311
701	6067	4304
702	6077	4296
703	6089	4290
704	6097	4281
705	6105	4271
706	6117	4265
707	6127	4257
708	6136	4249
709	6148	4243
710	6155	4233
711	6163	4224
712	6172	4216
713	6181	4207
714	6190	4198
715	6197	4189
716	6203	4179
717	6212	4170
718	6219	4160
719	6227	4151
720	6240	4146
721	6247	4136
722	6257	4128
723	6266	4120
724	6277	4112
725	6291	4107
726	6315	4108
727	6328	4102
728	6338	4094
729	6348	4087
730	6359	4079
731	6366	4070
732	6374	4061
733	6382	4052
734	6392	4044
735	6399	4034
736	6409	4026
737	6413	4015
738	6422	4006
739	6427	3995
740	6433	3984
741	6439	3974
742	6444	3963
743	6453	3955
744	6458	3944
745	6465	3934
746	6472	3924
747	6478	3914
748	6484	3904
749	6488	3893
750	6497	3884
751	6505	3875
752	6513	3866
753	6517	3855
754	6524	3845
755	6529	3834
756	6533	3823
757	6538	3812
758	6548	3804
759	6553	3794
760	6558	3783
761	6564	3773
762	6570	3763
763	6577	3753
764	6583	3743
765	6589	3733
766	6594	3722
767	6600	3712
768	6606	3702
769	6610	3691
770	6618	3682
771	6622	3671
772	6628	3661
773	6636	3652
774	6644	3643
775	6654	3635
776	6663	3627
777	6672	3619
778	6678	3609
779	6683	3598
780	6693	3591
781	6701	3581
782	6710	3573
783	6718	3564
784	6726	3556
785	6739	3549
786	6745	3539
787	6760	3534
788	6769	3526
789	6776	3517
790	6791	3511
791	6799	3502
792	6804	3492
793	6809	3481
794	6815	3471
795	6819	3461
796	6825	3451
797	6831	3441
798	6835	3430
799	6843	3421
800	6847	3410
801	6852	3400
802	6859	3391
803	6864	3380
804	6868	3370
805	6876	3361
806	6881	3351
807	6892	3343
808	6896	3333
809	6902	3323
810	6907	3313
811	6912	3302
812	6921	3294
813	6926	3284
814	6932	3275
815	6938	3265
816	6943	3254
817	6952	3246
818	6956	3236
819	6962	3226
820	6972	3218
821	6978	3209
822	6984	3199
